"","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","x10","x11","x12","x13","Degree"
"134",20619,19589,2689,921,3132,226,351,184,430,19,14,4,7,2,2
"135",38939,37964,6678,2371,11604,603,824,492,1463,22,68,17,6,6,4
"136",41026,40334,4269,1427,11524,258,582,367,1214,25,65,21,12,9,4
"137",16959,16055,1289,303,2100,55,175,30,130,2,5,1,1,1,2
"138",40844,39000,3138,1599,9128,375,616,356,1204,24,42,8,8,14,4
"139",21447,20594,2307,2461,10414,828,720,638,2587,27,62,18,9,7,2
"140",26476,24974,3193,919,3489,216,356,189,355,10,17,5,3,3,3
"141",26084,25371,3012,1366,4467,350,518,236,480,14,20,9,7,4,3
"142",35315,33516,3103,1656,15545,299,719,311,1550,21,23,12,6,5,4
"143",24374,23514,1599,403,1745,83,215,55,149,2,7,4,1,2,3
"144",22264,21110,1500,462,2242,111,229,60,194,7,7,2,1,4,2
"145",23575,23924,3494,1219,6168,262,420,331,983,18,37,8,10,2,3
"146",26541,25392,3075,478,2882,109,198,85,226,9,15,4,0,3,3
"147",32309,30758,2890,594,3842,163,249,95,312,9,15,10,1,6,4
"148",28265,26906,949,829,4308,153,456,127,558,7,19,9,2,4,3
"149",37627,35937,3657,1035,5248,474,309,163,936,12,17,13,0,3,4
"150",21758,20721,1830,853,3668,192,334,235,636,17,17,5,5,8,2
"151",26780,24968,1114,1017,5260,165,521,190,572,18,30,4,5,4,3
"152",29377,28625,2935,950,7517,290,317,192,796,12,24,5,2,2,4
"153",23792,22688,1248,236,1125,45,107,39,98,5,2,2,2,2,3
"154",22686,21322,2752,1418,5749,359,416,340,854,12,21,4,5,5,3
"155",28903,27225,2601,1128,6307,261,459,207,483,10,22,7,2,2,4
"156",30255,28618,3163,2008,13164,503,680,484,1380,30,34,17,14,0,4
"157",21440,20134,2432,946,2763,292,282,164,361,10,11,6,3,2,2
"158",29269,27742,1248,539,3166,104,241,96,344,11,15,4,0,5,4
"159",22185,21654,2220,621,3571,143,228,131,403,12,27,6,1,5,2
"160",20387,19376,2152,1048,5417,245,422,199,628,11,17,8,10,4,2
"161",17234,16451,2427,853,3992,258,270,160,443,12,16,5,3,4,2
"162",20053,18932,1090,434,1943,91,243,48,148,5,5,1,2,5,2
"163",26571,25115,2612,835,3583,198,331,157,517,6,17,9,4,3,3
"164",31074,29560,2542,1051,4086,263,346,172,401,19,16,9,8,6,4
"165",15050,14297,1763,715,1985,201,209,152,299,9,9,5,0,0,1
"166",28379,26713,1984,1092,7162,272,448,197,616,14,12,10,5,0,3
"167",25927,24653,1862,1223,6442,264,520,244,1029,14,38,11,7,3,3
"168",29048,27051,3218,1594,6934,618,449,197,544,10,21,6,5,2,4
"169",28670,27152,2864,1898,7320,895,440,207,571,8,15,7,8,4,3
"170",30452,28215,6672,5210,30607,2141,919,708,2019,16,69,10,6,6,4
"171",23287,25613,7024,1246,6607,249,406,416,1122,23,54,9,13,1,3
"172",21448,20785,2290,530,2177,113,193,101,260,6,13,4,1,3,2
"173",38588,36245,4807,4102,20358,1436,908,550,1730,21,43,11,12,10,4
"174",31368,29553,2774,2727,11264,777,739,535,1819,21,40,13,6,9,4
"175",30459,28963,5262,1996,7630,741,477,422,1536,18,40,12,7,4,4
"176",19946,19460,1562,727,4894,173,315,131,406,8,16,5,2,2,2
"177",25099,23332,4886,4525,12973,2794,573,516,1228,18,29,10,6,9,3
"178",21838,20259,3121,1500,8395,421,519,317,818,15,19,5,7,5,2
"179",10356,11877,3773,970,10041,200,276,417,1400,11,49,12,10,4,1
"180",12932,12407,3090,881,3742,224,284,218,666,10,18,5,4,4,1
"181",24561,23767,4250,607,4441,141,209,128,328,12,24,5,3,2,3
"182",32444,31078,4912,1864,8865,406,584,658,2156,21,83,17,19,6,4
"183",13203,12290,2906,1697,7396,993,266,297,788,12,29,5,6,2,1
"184",39915,37967,5371,1506,14523,328,666,267,973,18,28,15,5,7,4
"185",23359,22266,5514,1693,10312,331,589,419,1295,13,43,14,5,2,3
"186",28231,26078,2789,1519,6484,375,562,390,1320,22,29,13,6,7,3
"187",26435,24677,2367,841,4206,181,363,138,386,10,20,4,1,3,3
"188",14875,14049,2262,575,1718,162,222,96,193,7,8,8,3,4,1
"189",13055,12240,1670,399,1564,80,174,58,152,4,13,0,1,2,1
"190",46169,44937,7759,1512,8559,305,574,416,1285,29,55,19,13,5,4
"191",27341,25592,3694,1264,5100,306,483,249,738,12,22,14,4,5,3
"192",25735,24491,3720,799,2990,209,293,152,442,11,15,6,7,3,3
"193",29836,28439,3750,722,2767,170,289,146,389,11,21,2,2,5,4
"194",24244,23194,2713,963,4002,230,390,169,468,11,12,6,5,4,3
"195",20744,19714,3129,1145,21261,199,454,269,1072,6,33,12,3,2,2
"196",30617,30135,4316,1414,10825,289,455,417,1473,17,45,21,7,4,4
"197",39740,36793,5513,2605,19349,546,932,471,1476,21,47,11,5,3,4
"198",11755,11712,3541,1511,10187,265,602,387,1163,16,52,12,6,2,1
"199",22557,20782,2433,1999,16348,462,790,382,1793,16,33,7,2,6,3
"200",21760,20065,3531,1367,4436,347,410,390,1040,13,61,16,2,2,2
"201",19453,18308,2076,1223,4796,287,449,235,610,19,38,13,3,4,2
"202",32988,31081,3422,2236,41432,334,943,673,2960,21,116,24,3,4,4
"203",24786,24902,4192,1698,11664,339,607,527,1617,14,77,26,5,4,3
"204",24559,23352,7365,9880,62110,2165,3815,2718,11980,57,442,94,20,11,3
"205",20046,18794,3112,1436,11575,339,593,209,648,6,32,8,3,0,2
"206",41478,39035,5665,1492,12059,483,535,242,731,15,29,10,1,4,4
"207",21305,20454,2915,1070,5557,244,406,180,486,13,21,10,0,3,2
"208",25021,23035,2050,1615,11944,429,646,229,925,11,26,10,2,5,3
"209",16315,15454,3772,1754,6761,321,531,713,1889,9,145,34,1,3,1
"210",12088,10264,1719,658,4342,137,256,161,574,8,20,10,0,1,1
"211",22081,20554,2133,2445,19339,601,1005,390,1589,7,49,10,1,5,2
"212",19145,17326,3398,2015,11029,356,777,522,1807,8,91,23,3,4,2
"213",16811,15676,942,644,2173,204,189,167,404,5,6,5,1,1,1
"214",24291,22320,3752,1078,4939,270,376,264,674,22,27,10,3,4,3
"215",19150,18141,1045,515,3116,122,204,66,210,9,6,7,1,1,2
"216",33921,32500,3822,1410,5729,298,538,265,627,22,24,13,8,6,4
"217",17393,16324,2147,772,2402,211,238,116,301,4,7,5,0,3,2
"218",18522,23508,7887,3692,35906,747,1163,1496,6680,39,147,36,13,8,2
"219",37352,35984,8184,2074,10106,554,722,465,1398,17,49,20,2,4,4
"220",18787,18485,2333,841,3040,206,303,193,439,12,16,5,1,3,2
"221",17857,17047,3159,1745,22494,330,680,421,1304,3,64,5,4,2,2
"222",23814,22603,2392,787,2431,221,307,135,312,11,5,7,2,3,3
"223",28321,27499,3495,952,4982,208,376,216,892,8,17,8,7,5,3
"224",22831,21911,2399,1018,4711,242,422,185,506,10,22,8,3,3,3
"225",14814,13880,1303,529,1587,99,246,86,224,4,5,3,5,1,1
"226",16449,15559,1935,1023,3158,313,332,240,534,13,11,7,1,2,1
"227",18616,17077,1403,661,8093,311,170,77,392,3,17,3,1,4,2
"228",31761,27813,4842,1628,10021,357,707,285,1065,12,45,8,7,5,4
"229",16594,17091,514,373,2428,70,174,41,225,1,8,4,0,3,1
"230",20380,18645,854,993,7857,288,408,131,758,11,11,6,3,2,2
"231",20040,17771,1077,3556,31864,1877,784,555,5329,5,78,46,4,5,2
"232",12528,10978,312,665,2556,230,257,107,337,7,10,5,0,1,1
"233",17576,15952,2152,1843,15477,430,811,289,1057,8,36,7,9,7,2
"234",22340,21913,2569,1885,18805,428,680,358,1707,10,26,10,2,5,3
"235",22137,19646,1413,1110,14081,257,492,107,420,4,18,5,0,4,2
"236",24107,22433,2459,2235,14119,496,987,291,941,9,39,17,2,3,3
"237",21549,19506,1453,1576,9937,435,611,272,944,7,38,15,4,4,2
"238",21327,20365,2881,3710,34521,1008,1649,471,2043,15,94,16,7,9,2
"239",18178,16282,2568,4510,51125,1044,2150,521,2904,19,92,13,3,7,2
"240",30455,27719,3607,7449,78877,1248,4033,1048,5114,17,152,32,8,4,4
"241",31534,28595,1643,2977,28112,487,1540,509,3578,13,71,17,2,6,4
"242",46332,43136,4370,3415,45538,821,1425,553,2401,17,101,21,7,9,4
"243",23757,21999,3781,4920,47144,1910,1433,625,2441,22,85,15,5,3,3
"244",34740,31472,3239,2046,17185,382,885,406,1866,15,46,10,3,5,4
"245",16087,12377,1232,465,1870,91,191,75,238,3,15,3,2,3,1
"246",24271,22957,2454,917,2674,216,290,214,488,17,21,5,2,4,3
"247",15345,13942,1481,588,1912,135,228,118,306,7,8,5,4,1,1
"248",23446,22195,3342,2715,11160,1695,336,212,620,6,18,4,2,4,3
"249",11624,13734,4413,1008,11203,157,271,461,1789,17,64,3,13,2,1
"250",17242,16701,2350,1577,8947,358,475,142,418,5,20,6,1,2,2
"251",15332,15744,2898,2396,19636,529,734,368,1175,10,75,8,2,4,1
"252",17580,17124,2959,2402,17933,643,562,354,1041,9,51,8,3,2,2
"253",11556,10985,1987,5356,50798,1350,1474,488,1719,11,66,9,4,2,1
"254",11267,11048,2228,560,2268,137,173,73,133,4,4,3,1,0,1
"255",27245,25040,2190,782,3689,142,353,125,449,6,20,12,1,5,3
